How focused do you feel now?

Respondents,Response Date,,Tags

1,Jun 30 2020 06:49 AM,85,
2,Jun 28 2020 11:59 AM,50,
3,Jun 28 2020 11:55 AM,50,
4,Jun 27 2020 11:21 PM,84,
5,Jun 27 2020 04:13 PM,9,
6,Jun 26 2020 04:14 PM,77,
7,Jun 26 2020 11:59 AM,90,
8,Jun 26 2020 11:05 AM,90,
9,Jun 24 2020 12:32 PM,34,
10,Jun 24 2020 07:51 AM,70,
11,Jun 24 2020 03:34 AM,54,
12,Jun 23 2020 10:35 PM,49,
13,Jun 20 2020 01:23 PM,25,
14,Jun 19 2020 10:30 AM,100,
15,Jun 19 2020 10:26 AM,100,
16,Jun 15 2020 10:50 AM,50,
17,Jun 15 2020 10:02 AM,94,
18,Jun 14 2020 12:52 AM,51,
19,Jun 12 2020 11:44 PM,87,
20,Jun 12 2020 03:49 PM,37,
21,Jun 12 2020 09:52 AM,68,
22,Jun 11 2020 02:22 AM,71,
23,Jun 10 2020 07:56 PM,29,
24,Jun 10 2020 07:38 PM,39,
25,Jun 10 2020 05:39 PM,55,
26,Jun 10 2020 07:25 AM,14,
27,Jun 09 2020 06:31 PM,60,
28,Jun 09 2020 04:40 PM,50,
29,Jun 09 2020 12:15 PM,61,
30,Jun 09 2020 11:11 AM,72,
31,Jun 08 2020 10:10 PM,65,
32,Jun 08 2020 10:08 PM,65,
33,Jun 08 2020 03:43 PM,51,
34,Jun 08 2020 11:53 AM,69,
35,Jun 08 2020 08:08 AM,67,
36,Jun 07 2020 10:26 PM,50,
37,Jun 07 2020 10:15 PM,55,
38,Jun 07 2020 10:14 PM,82,
39,Jun 07 2020 04:57 PM,25,
40,Jun 07 2020 11:07 AM,74,
41,Jun 07 2020 10:50 AM,79,
42,Jun 06 2020 02:30 PM,90,
43,Jun 06 2020 02:25 PM,91,
44,Jun 06 2020 10:48 AM,79,

